name,abv_level
Invasion Pale Ale,low
Maduro Brown Ale,med
Maduro Brown Ale,med
Hotter Than Helles Lager,low
Tocobaga Red Ale,high
Jai Alai IPA,high
Florida Cracker Belgian Wit,low
Shark Tracker Light lager,low
Pumple Drumkin,med
Grey Lady,low
Summer of Lager,med
Indie Pale Ale,med
Sankaty Light Lager,low
Whale's Tale Pale Ale,med
Jacaranada Rye IPA,high
Cascadian Dark Ale,med
Wheat the People,low
Tybee Island Blonde,low
Savannah Brown Ale,med
Rhode Island Blueberry,low
Newport Storm IPA,med
Hurricane Amber Ale (2004),med
Hurricane Amber Ale,med
Big Blue Van,med
Des Moines IPA,high
Capital Gold Golden Lager,low
Farmer John's Multi-Grain Ale,med
Behemoth,low
Arkansas Red,med
Core Oatmeal Stout,med
Core ESB,med
Chester's Beer (2005),low
Heiner Brau Kölsch,low
Trigger Blonde Ale,low
Crabtree Oatmeal Stout,high
Eclipse Black IPA,high
Neomexicanus Native,med
Old Soul,high
Snowcat Coffee Stout,med
WinterWonderGrass Festival Ale,high
Boohai Red Ale,high
Lava Lake Wit,med
Mountain Livin' Pale Ale,med
Crazy Mountain Amber Ale,med
Tropicalia,med
Athena,low
Aviator Raspberry Blonde,low
3 Picket Porter,med
Rusty Nail Pale Ale,med
Red Water Irish Style Red,med
Mjöllnir,high
Bear Butte Nut Brown Ale,med
Easy Livin' Summer Ale,low
Canyon Cream Ale,med
Pile O'Dirt Porter,high
11th Hour IPA,med
South Ridge Amber Ale,med
Summertime Ale,med
Lost River Blonde Ale,low
Monon Wheat,med
Floyd's Folly,high
Half Court IPA,med
Geary's Pale Ale,low
Geary's Summer Ale,med
Stone of Arbroath,high
The Tradition,low
El Hefe Speaks,med
Penn Quarter Porter,med
On the Wings of Armageddon,high
The Corruption,med
The Citizen,high
The Public,med
Dank IPA,med
Dank IPA (2012),med
Lift Off IPA,high
BrewFarm Select Golden Lager,med
Sprocket Blonde Ale (2006),low
Sprocket Pale Ale (2006),low
Dead Armadillo Amber Ale,med
Neato Bandito,med
Oak Cliff Coffee Ale,high
Dream Crusher Double IPA,high
Deep Ellum Pale Ale,med
Double Brown Stout,high
Farmhouse Wit,low
Rye Pils Session Lager,low
Dallas Blonde,med
Deep Ellum IPA,high
Thrasher Session India Pale Ale,low
Gutch English Style Mild Ale,low
Chuli Stout,med
Mother Ale,med
Twister Creek India Pale Ale,med
Single Engine Red,med
Incredible Pedal IPA,high
Graham Cracker Porter,low
Mirror Pond Pale Ale,low
Weissenheimer,med
Abbey's Single (2015- ),low
Vertex IPA,med
Here Gose Nothin',low
Strawberry Blonde,low
Hoperation Overload,high
Abbey's Single Ale (Current),low
Bravo Four Point,low
